participant,trial,accuracy,rt
32,1,0,4263
32,2,1,1575
32,3,0,1448
32,4,1,1319
32,5,1,1647
32,6,1,1104
32,7,1,911
32,8,1,847
32,9,1,1152
32,10,1,1104
32,11,1,2455
32,12,1,1304
32,13,1,943
32,14,1,935
32,15,1,687
33,0,0,3454
33,1,1,893
33,2,1,1111
33,3,0,814
33,4,1,6095
33,5,1,1541
33,6,0,599
33,7,1,702
33,8,0,550
33,9,1,942
33,10,0,486
33,11,0,559
33,12,1,606
33,13,0,574
33,14,0,553
33,15,1,606
34,0,0,2597
34,1,1,2935
34,2,1,2354
34,3,1,1418
34,4,1,1052
34,5,1,1163
34,6,1,1156
34,7,1,1145
34,8,1,1123
34,9,1,1130
34,10,1,646
34,11,1,1191
34,12,1,1221
34,13,1,1351
34,14,1,1114
34,15,0,831
35,0,0,10145
35,1,1,2975
35,2,0,2259
35,3,1,2302
35,4,1,2990
35,5,1,1618
35,6,1,2309
35,7,1,2379
35,8,1,2088
35,9,1,11241
35,10,1,2902
35,11,1,2204
35,12,1,2806
35,13,1,4235
35,14,1,2954
35,15,1,2628
36,0,0,4329
36,1,1,2040
36,2,1,1596
36,3,0,3006
36,4,1,3070
36,5,1,1639
36,6,1,1691
36,7,1,2154
36,8,1,1786
36,9,1,2202
36,10,1,2586
36,11,1,1865
36,12,1,1545
36,13,1,1626
36,14,1,1500
36,15,1,1355
37,0,0,2915
37,1,1,1523
37,2,1,2282
37,3,1,2357
37,4,1,851
37,5,1,864
37,6,1,2074
37,7,1,1005
37,8,1,935
37,9,1,1067
37,10,1,1006
37,11,1,1121
37,12,1,1739
37,13,1,2975
37,14,1,804
37,15,1,1068
38,0,0,3057
38,1,1,124
38,2,0,1909
38,3,1,1629
38,4,0,85
38,5,1,2072
38,6,1,1361
38,7,1,1211
38,8,1,1492
38,9,1,1383
38,10,1,1296
38,11,1,1166
38,12,1,2947
38,13,1,1522
38,14,1,1100
38,15,1,1936
39,0,1,7359
39,1,0,3647
39,2,1,3295
39,3,1,2583
39,4,0,2959
39,5,1,1888
39,6,1,1791
39,7,1,1583
39,8,1,1463
39,9,1,1471
39,10,1,1423
39,11,1,1535
39,12,1,1375
39,13,1,1471
39,14,1,1551
39,15,1,1520
40,0,1,5090
40,1,1,3713
40,2,1,3444
40,3,1,3008
40,4,0,3546
40,5,1,3546
40,6,1,2498
40,7,1,2870
40,8,1,6174
40,9,1,2857
40,10,0,7594
40,11,1,2974
40,12,1,2504
40,13,1,2460
40,14,1,2269
40,15,1,2185
41,0,1,6386
41,1,0,3726
41,2,0,3891
41,3,1,5132
41,4,1,1794
41,5,1,1548
41,6,1,1378
41,7,1,1925
41,8,1,6351
41,9,1,1718
41,10,1,1136
41,11,1,2335
41,12,1,2675
41,13,1,1749
41,14,1,1812
41,15,1,3062
42,0,0,2526
42,1,1,2440
42,2,1,2181
42,3,1,1879
42,4,1,1170
42,5,1,1565
42,6,1,1593
42,7,1,1334
42,8,1,959
42,9,1,1658
42,10,1,1980
42,11,1,1133
42,12,1,1026
42,13,1,5348
42,14,1,1062
42,15,1,1104
43,0,1,6704
43,1,0,2640
43,2,1,3617
43,3,1,1352
43,4,1,1119
43,5,1,3105
43,6,1,980
43,7,1,987
43,8,1,889
43,9,1,587
43,10,1,555
43,11,1,485
43,12,1,564
43,13,1,612
43,14,1,507
43,15,1,580
44,0,0,2156
44,1,1,1574
44,2,1,1761
44,3,1,1431
44,4,1,1286
44,5,1,1211
44,6,1,1187
44,7,1,1321
44,8,1,1181
44,9,1,1117
44,10,1,921
44,11,1,1045
44,12,1,808
44,13,1,1165
44,14,1,998
44,15,1,1149
45,0,0,10202
45,1,1,4249
45,2,1,1624
45,3,1,2721
45,4,1,3792
45,5,1,3920
45,6,0,3240
45,7,0,2720
45,8,0,2655
45,9,0,2968
45,10,0,1816
45,11,0,2927
45,12,1,1856
45,13,1,3088
45,14,0,3024
45,15,0,1887
46,0,0,5422
46,1,0,2747
46,2,0,1519
46,3,0,1633
46,4,1,1990
46,5,1,1259
46,6,1,1363
46,7,1,1508
46,8,1,1206
46,9,1,2449
46,10,1,1613
46,11,1,1248
46,12,1,1311
46,13,1,1487
46,14,1,1748
46,15,1,1186
47,0,1,11911
47,1,0,7575
47,2,1,3919
47,3,1,2887
47,4,1,7296
47,5,1,2368
47,6,1,2143
47,7,0,2919
47,8,1,1551
47,9,1,1911
47,10,1,2503
47,11,0,29511
47,12,0,1896
47,13,0,3200
47,14,1,919
47,15,0,1551
48,0,1,6370
48,1,1,3609
48,2,0,2046
48,3,1,1742
48,4,0,3544
48,5,1,3311
48,6,0,2293
48,7,1,1429
48,8,1,2463
48,9,1,2063
48,10,1,1447
48,11,1,941
48,12,1,1562
48,13,1,1278
48,14,1,1711
48,15,0,1063
49,0,0,2800
49,1,1,1767
49,2,1,1575
49,3,1,959
49,4,1,967
49,5,1,767
49,6,1,654
49,7,1,1031
49,8,1,687
49,9,1,656
49,10,1,1351
49,11,1,631
49,12,1,807
49,13,1,1071
49,14,1,631
49,15,1,760
50,0,1,3684
50,1,1,2254
50,2,1,1634
50,3,1,1745
50,4,1,1175
50,5,1,1579
50,6,1,1140
50,7,1,1399
50,8,1,1507
50,9,1,2012
50,10,1,1344
50,11,1,1287
50,12,1,1872
50,13,1,1798
50,14,1,818
50,15,1,881
51,0,0,6213
51,1,0,4299
51,2,0,2289
51,3,1,2839
51,4,0,2686
51,5,0,3300
51,6,0,2340
51,7,1,3706
51,8,1,2072
51,9,0,2087
51,10,0,4200
51,11,1,3850
51,12,1,4287
51,13,0,1792
51,14,1,1947
51,15,1,4973
52,0,0,6947
52,1,0,2260
52,2,0,3107
52,3,1,2250
52,4,1,2029
52,5,0,1570
52,6,1,1761
52,7,1,2067
52,8,0,1811
52,9,1,1722
52,10,1,1144
52,11,1,1566
52,12,1,1532
52,13,1,1316
52,14,1,1264
52,15,1,1233
53,0,0,3469
53,1,0,1437
53,2,1,1642
53,3,0,1600
53,4,1,1832
53,5,1,1166
53,6,1,1542
53,7,0,1308
53,8,1,1133
53,9,0,1225
53,10,1,2890
53,11,1,2310
53,12,1,2222
53,13,1,2770
53,14,0,1006
53,15,0,1984
54,0,0,4535
54,1,0,1389
54,2,0,1226
54,3,0,1332
54,4,1,1206
54,5,1,1222
54,6,1,1051
54,7,0,1004
54,8,0,1630
54,9,1,1931
54,10,1,1188
54,11,0,1058
54,12,0,1176
54,13,0,1138
54,14,1,1561
54,15,0,1283
55,0,0,7752
55,1,1,3390
55,2,1,2391
55,3,1,1617
55,4,1,1339
55,5,1,900
55,6,1,823
55,7,1,865
55,8,1,1302
55,9,1,1323
55,10,1,1261
55,11,1,1038
55,12,1,2392
55,13,1,1120
55,14,0,1230
55,15,1,1011
56,0,1,2696
56,1,1,2063
56,2,1,5415
56,3,0,2164
56,4,0,1314
56,5,0,1148
56,6,1,1065
56,7,0,1565
56,8,1,1298
56,9,0,1898
56,10,1,1381
